Q=SmallGroup(1,1) exterior=1 all_subgroups=1 normal_kernels=1 total=1
Q=SmallGroup(2,1) exterior=1 all_subgroups=1 normal_kernels=1 total=2
Q=SmallGroup(3,1) exterior=1 all_subgroups=1 normal_kernels=1 total=3
Q=SmallGroup(4,1) exterior=1 all_subgroups=1 normal_kernels=1 total=4
Q=SmallGroup(4,2) exterior=2 all_subgroups=2 normal_kernels=2 total=6
Q=SmallGroup(5,1) exterior=1 all_subgroups=1 normal_kernels=1 total=7
Q=SmallGroup(6,1) exterior=3 all_subgroups=2 normal_kernels=2 total=9
Q=SmallGroup(6,2) exterior=1 all_subgroups=1 normal_kernels=1 total=10
Q=SmallGroup(7,1) exterior=1 all_subgroups=1 normal_kernels=1 total=11
Q=SmallGroup(8,1) exterior=1 all_subgroups=1 normal_kernels=1 total=12
Q=SmallGroup(8,2) exterior=2 all_subgroups=2 normal_kernels=2 total=14
Q=SmallGroup(8,3) exterior=4 all_subgroups=3 normal_kernels=3 total=17
Q=SmallGroup(8,4) exterior=2 all_subgroups=2 normal_kernels=2 total=19
Q=SmallGroup(8,5) exterior=8 all_subgroups=16 normal_kernels=16 total=35
Q=SmallGroup(9,1) exterior=1 all_subgroups=1 normal_kernels=1 total=36
Q=SmallGroup(9,2) exterior=3 all_subgroups=2 normal_kernels=2 total=38
Q=SmallGroup(10,1) exterior=5 all_subgroups=2 normal_kernels=2 total=40
Q=SmallGroup(10,2) exterior=1 all_subgroups=1 normal_kernels=1 total=41
Q=SmallGroup(11,1) exterior=1 all_subgroups=1 normal_kernels=1 total=42
Q=SmallGroup(12,1) exterior=3 all_subgroups=2 normal_kernels=2 total=44
Q=SmallGroup(12,2) exterior=1 all_subgroups=1 normal_kernels=1 total=45
Q=SmallGroup(12,3) exterior=8 all_subgroups=6 normal_kernels=3 total=48
Q=SmallGroup(12,4) exterior=6 all_subgroups=4 normal_kernels=4 total=52
Q=SmallGroup(12,5) exterior=2 all_subgroups=2 normal_kernels=2 total=54
Q=SmallGroup(13,1) exterior=1 all_subgroups=1 normal_kernels=1 total=55
Q=SmallGroup(14,1) exterior=7 all_subgroups=2 normal_kernels=2 total=57
Q=SmallGroup(14,2) exterior=1 all_subgroups=1 normal_kernels=1 total=58
Q=SmallGroup(15,1) exterior=1 all_subgroups=1 normal_kernels=1 total=59
Q=SmallGroup(16,1) exterior=1 all_subgroups=1 normal_kernels=1 total=60
Q=SmallGroup(16,2) exterior=4 all_subgroups=3 normal_kernels=3 total=63
Q=SmallGroup(16,3) exterior=8 all_subgroups=8 normal_kernels=6 total=69
Q=SmallGroup(16,4) exterior=4 all_subgroups=3 normal_kernels=3 total=72
Q=SmallGroup(16,5) exterior=2 all_subgroups=2 normal_kernels=2 total=74
Q=SmallGroup(16,6) exterior=2 all_subgroups=2 normal_kernels=2 total=76
Q=SmallGroup(16,7) exterior=8 all_subgroups=4 normal_kernels=4 total=80
Q=SmallGroup(16,8) exterior=4 all_subgroups=3 normal_kernels=3 total=83
Q=SmallGroup(16,9) exterior=4 all_subgroups=3 normal_kernels=3 total=86
Q=SmallGroup(16,10) exterior=8 all_subgroups=16 normal_kernels=16 total=102
Q=SmallGroup(16,11) exterior=16 all_subgroups=27 normal_kernels=27 total=129
Q=SmallGroup(16,12) exterior=8 all_subgroups=16 normal_kernels=16 total=145
Q=SmallGroup(16,13) exterior=8 all_subgroups=16 normal_kernels=16 total=161
Q=SmallGroup(16,14) exterior=64 all_subgroups=2825 normal_kernels=2825 total=
2986
completed exterior-square scan; quotients=42 graphs=2986
