# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# Q_ORDER=64
# Q_ID=261
# STRUCTURE=C2 x C2 x C2 x D8
# Q_PC_RELATIVE_ORDERS=2,2,2,2,2,2
# COVER_ORDER=65536
# PC_CONVERSION_KERNEL_ORDER=1
# COVER_TO_Q_KERNEL_ORDER=1024
# EXTERIOR_ORDER=2048
# EXTERIOR_RELATIVE_ORDERS=2,2,2,2,2,2,2,2,2,4
# ACTION_COUNT=16
# COMMUTATOR_ROW_COUNT=64
ACTIONS
action_index	image_vectors	q_conjugation
11	1,0,0,0,0,0,0,0,0,0;0,1,0,0,0,0,0,0,0,0;0,0,1,0,0,0,0,0,0,0;0,0,0,1,0,0,0,0,0,0;0,0,0,0,1,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0;0,0,0,0,0,0,1,0,0,0;0,0,0,0,0,0,0,1,0,0;0,0,0,0,0,0,0,0,1,0;0,0,0,0,0,0,0,0,0,1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
12	1,0,0,0,0,0,0,0,0,0;0,1,0,0,0,0,0,0,0,0;0,0,1,0,0,0,0,0,0,0;0,0,0,1,0,0,0,0,0,0;0,0,0,0,1,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0;0,0,0,0,0,0,1,0,0,0;0,0,0,0,0,0,0,1,0,0;0,0,0,0,0,0,0,0,1,0;0,0,0,0,0,0,0,0,0,1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
13	1,0,0,0,0,0,0,0,0,0;0,1,0,0,0,0,0,0,0,0;0,0,1,0,0,0,0,0,0,0;0,0,0,1,0,0,0,0,0,0;0,0,0,0,1,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0;0,0,0,0,0,0,1,0,0,0;0,0,0,0,0,0,0,1,0,0;0,0,0,0,0,0,0,0,1,0;0,0,0,0,0,0,0,0,0,1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
14	1,0,0,0,0,0,0,0,0,0;0,1,0,0,0,0,0,0,0,0;0,0,1,0,0,0,0,0,0,0;0,0,0,1,0,0,0,0,0,0;0,0,0,0,1,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0;0,0,0,0,0,0,1,0,0,0;0,0,0,0,0,0,0,1,0,0;0,0,0,0,0,0,0,0,1,0;0,0,0,0,0,0,0,0,0,1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
15	1,0,0,0,0,0,0,0,0,0;0,1,0,0,0,0,0,0,0,0;0,0,1,0,0,0,0,0,0,0;0,0,0,1,0,0,0,0,0,0;0,0,0,0,1,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0;0,0,0,0,0,0,1,0,0,0;0,0,0,0,0,0,0,1,0,0;0,0,0,0,0,0,0,0,1,0;0,0,0,0,0,0,0,0,0,1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
16	1,0,0,0,0,0,0,0,0,0;0,1,0,0,0,0,0,0,0,0;0,0,1,0,0,0,0,0,0,0;0,0,0,1,0,0,0,0,0,0;0,0,0,0,1,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0;0,0,0,0,0,0,1,0,0,0;0,0,0,0,0,0,0,1,0,0;0,0,0,0,0,0,0,0,1,0;0,0,0,0,0,0,0,0,0,1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
COMMUTATORS
vertex	q_exponents	commutator_vectors
0	0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0
1	1,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,3;1,0,0,0,0,0,0,0,0,0;0,0,1,0,0,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0;0,0,0,0,0,0,0,0,0,2;0,0,0,0,0,0,0,0,0,3;1,0,0,0,0,0,0,0,0,0;0,0,1,0,0,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0;0,0,0,0,0,0,0,0,0,2;1,0,0,0,0,0,0,0,0,3;0,0,1,0,0,0,0,0,0,3;0,0,0,0,0,1,0,0,0,3;0,0,0,0,0,0,0,0,0,1;1,0,1,0,0,0,0,0,0,0;1,0,0,0,0,1,0,0,0,0;1,0,0,0,0,0,0,0,0,2;0,0,1,0,0,1,0,0,0,0;0,0,1,0,0,0,0,0,0,2;0,0,0,0,0,1,0,0,0,2;1,0,0,0,0,0,0,0,0,3;0,0,1,0,0,0,0,0,0,3;0,0,0,0,0,1,0,0,0,3;0,0,0,0,0,0,0,0,0,1;1,0,1,0,0,0,0,0,0,0;1,0,0,0,0,1,0,0,0,0;1,0,0,0,0,0,0,0,0,2;0,0,1,0,0,1,0,0,0,0;0,0,1,0,0,0,0,0,0,2;0,0,0,0,0,1,0,0,0,2;1,0,1,0,0,0,0,0,0,3;1,0,0,0,0,1,0,0,0,3;1,0,0,0,0,0,0,0,0,1;0,0,1,0,0,1,0,0,0,3;0,0,1,0,0,0,0,0,0,1;0,0,0,0,0,1,0,0,0,1;1,0,1,0,0,1,0,0,0,0;1,0,1,0,0,0,0,0,0,2;1,0,0,0,0,1,0,0,0,2;0,0,1,0,0,1,0,0,0,2;1,0,1,0,0,0,0,0,0,3;1,0,0,0,0,1,0,0,0,3;1,0,0,0,0,0,0,0,0,1;0,0,1,0,0,1,0,0,0,3;0,0,1,0,0,0,0,0,0,1;0,0,0,0,0,1,0,0,0,1;1,0,1,0,0,1,0,0,0,0;1,0,1,0,0,0,0,0,0,2;1,0,0,0,0,1,0,0,0,2;0,0,1,0,0,1,0,0,0,2;1,0,1,0,0,1,0,0,0,3;1,0,1,0,0,0,0,0,0,1;1,0,0,0,0,1,0,0,0,1;0,0,1,0,0,1,0,0,0,1;1,0,1,0,0,1,0,0,0,2;1,0,1,0,0,1,0,0,0,3;1,0,1,0,0,0,0,0,0,1;1,0,0,0,0,1,0,0,0,1;0,0,1,0,0,1,0,0,0,1;1,0,1,0,0,1,0,0,0,2;1,0,1,0,0,1,0,0,0,1;1,0,1,0,0,1,0,0,0,1
2	0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,1;0,0,0,0,0,0,0,0,0,0;0,1,0,0,0,0,0,0,0,0;0,0,0,1,0,0,0,0,0,0;0,0,0,0,0,0,1,0,0,0;0,0,0,0,0,0,0,0,0,2;0,0,0,0,0,0,0,0,0,3;0,1,0,0,0,0,0,0,0,1;0,0,0,1,0,0,0,0,0,1;0,0,0,0,0,0,1,0,0,1;0,0,0,0,0,0,0,0,0,3;0,1,0,0,0,0,0,0,0,0;0,0,0,1,0,0,0,0,0,0;0,0,0,0,0,0,1,0,0,0;0,0,0,0,0,0,0,0,0,2;0,1,0,1,0,0,0,0,0,0;0,1,0,0,0,0,1,0,0,0;0,1,0,0,0,0,0,0,0,2;0,0,0,1,0,0,1,0,0,0;0,0,0,1,0,0,0,0,0,2;0,0,0,0,0,0,1,0,0,2;0,1,0,0,0,0,0,0,0,3;0,0,0,1,0,0,0,0,0,3;0,0,0,0,0,0,1,0,0,3;0,0,0,0,0,0,0,0,0,1;0,1,0,1,0,0,0,0,0,1;0,1,0,0,0,0,1,0,0,1;0,1,0,0,0,0,0,0,0,3;0,0,0,1,0,0,1,0,0,1;0,0,0,1,0,0,0,0,0,3;0,0,0,0,0,0,1,0,0,3;0,1,0,1,0,0,0,0,0,0;0,1,0,0,0,0,1,0,0,0;0,1,0,0,0,0,0,0,0,2;0,0,0,1,0,0,1,0,0,0;0,0,0,1,0,0,0,0,0,2;0,0,0,0,0,0,1,0,0,2;0,1,0,1,0,0,1,0,0,0;0,1,0,1,0,0,0,0,0,2;0,1,0,0,0,0,1,0,0,2;0,0,0,1,0,0,1,0,0,2;0,1,0,1,0,0,0,0,0,3;0,1,0,0,0,0,1,0,0,3;0,1,0,0,0,0,0,0,0,1;0,0,0,1,0,0,1,0,0,3;0,0,0,1,0,0,0,0,0,1;0,0,0,0,0,0,1,0,0,1;0,1,0,1,0,0,1,0,0,1;0,1,0,1,0,0,0,0,0,3;0,1,0,0,0,0,1,0,0,3;0,0,0,1,0,0,1,0,0,3;0,1,0,1,0,0,1,0,0,0;0,1,0,1,0,0,0,0,0,2;0,1,0,0,0,0,1,0,0,2;0,0,0,1,0,0,1,0,0,2;0,1,0,1,0,0,1,0,0,2;0,1,0,1,0,0,1,0,0,3;0,1,0,1,0,0,0,0,0,1;0,1,0,0,0,0,1,0,0,1;0,0,0,1,0,0,1,0,0,1;0,1,0,1,0,0,1,0,0,3;0,1,0,1,0,0,1,0,0,2;0,1,0,1,0,0,1,0,0,1
3	0,0,1,0,0,0	0,0,0,0,0,0,0,0,0,0;1,0,0,0,0,0,0,0,0,0;0,1,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,1,0,0,0,0,0;0,0,0,0,0,0,0,1,0,0;0,0,0,0,0,0,0,0,0,0;1,1,0,0,0,0,0,0,0,0;1,0,0,0,0,0,0,0,0,0;1,0,0,0,1,0,0,0,0,0;1,0,0,0,0,0,0,1,0,0;1,0,0,0,0,0,0,0,0,0;0,1,0,0,0,0,0,0,0,0;0,1,0,0,1,0,0,0,0,0;0,1,0,0,0,0,0,1,0,0;0,1,0,0,0,0,0,0,0,0;0,0,0,0,1,0,0,0,0,0;0,0,0,0,0,0,0,1,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,1,0,0,1,0,0;0,0,0,0,1,0,0,0,0,0;0,0,0,0,0,0,0,1,0,0;1,1,0,0,0,0,0,0,0,0;1,1,0,0,1,0,0,0,0,0;1,1,0,0,0,0,0,1,0,0;1,1,0,0,0,0,0,0,0,0;1,0,0,0,1,0,0,0,0,0;1,0,0,0,0,0,0,1,0,0;1,0,0,0,0,0,0,0,0,0;1,0,0,0,1,0,0,1,0,0;1,0,0,0,1,0,0,0,0,0;1,0,0,0,0,0,0,1,0,0;0,1,0,0,1,0,0,0,0,0;0,1,0,0,0,0,0,1,0,0;0,1,0,0,0,0,0,0,0,0;0,1,0,0,1,0,0,1,0,0;0,1,0,0,1,0,0,0,0,0;0,1,0,0,0,0,0,1,0,0;0,0,0,0,1,0,0,1,0,0;0,0,0,0,1,0,0,0,0,0;0,0,0,0,0,0,0,1,0,0;0,0,0,0,1,0,0,1,0,0;1,1,0,0,1,0,0,0,0,0;1,1,0,0,0,0,0,1,0,0;1,1,0,0,0,0,0,0,0,0;1,1,0,0,1,0,0,1,0,0;1,1,0,0,1,0,0,0,0,0;1,1,0,0,0,0,0,1,0,0;1,0,0,0,1,0,0,1,0,0;1,0,0,0,1,0,0,0,0,0;1,0,0,0,0,0,0,1,0,0;1,0,0,0,1,0,0,1,0,0;0,1,0,0,1,0,0,1,0,0;0,1,0,0,1,0,0,0,0,0;0,1,0,0,0,0,0,1,0,0;0,1,0,0,1,0,0,1,0,0;0,0,0,0,1,0,0,1,0,0;1,1,0,0,1,0,0,1,0,0;1,1,0,0,1,0,0,0,0,0;1,1,0,0,0,0,0,1,0,0;1,1,0,0,1,0,0,1,0,0;1,0,0,0,1,0,0,1,0,0;0,1,0,0,1,0,0,1,0,0;1,1,0,0,1,0,0,1,0,0
4	0,0,0,1,0,0	0,0,0,0,0,0,0,0,0,0;0,0,1,0,0,0,0,0,0,0;0,0,0,1,0,0,0,0,0,0;0,0,0,0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,1,0;0,0,0,0,0,0,0,0,0,0;0,0,1,1,0,0,0,0,0,0;0,0,1,0,1,0,0,0,0,0;0,0,1,0,0,0,0,0,0,0;0,0,1,0,0,0,0,0,1,0;0,0,1,0,0,0,0,0,0,0;0,0,0,1,1,0,0,0,0,0;0,0,0,1,0,0,0,0,0,0;0,0,0,1,0,0,0,0,1,0;0,0,0,1,0,0,0,0,0,0;0,0,0,0,1,0,0,0,0,0;0,0,0,0,1,0,0,0,1,0;0,0,0,0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,1,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,1,0;0,0,1,1,1,0,0,0,0,0;0,0,1,1,0,0,0,0,0,0;0,0,1,1,0,0,0,0,1,0;0,0,1,1,0,0,0,0,0,0;0,0,1,0,1,0,0,0,0,0;0,0,1,0,1,0,0,0,1,0;0,0,1,0,1,0,0,0,0,0;0,0,1,0,0,0,0,0,1,0;0,0,1,0,0,0,0,0,0,0;0,0,1,0,0,0,0,0,1,0;0,0,0,1,1,0,0,0,0,0;0,0,0,1,1,0,0,0,1,0;0,0,0,1,1,0,0,0,0,0;0,0,0,1,0,0,0,0,1,0;0,0,0,1,0,0,0,0,0,0;0,0,0,1,0,0,0,0,1,0;0,0,0,0,1,0,0,0,1,0;0,0,0,0,1,0,0,0,0,0;0,0,0,0,1,0,0,0,1,0;0,0,0,0,0,0,0,0,1,0;0,0,1,1,1,0,0,0,0,0;0,0,1,1,1,0,0,0,1,0;0,0,1,1,1,0,0,0,0,0;0,0,1,1,0,0,0,0,1,0;0,0,1,1,0,0,0,0,0,0;0,0,1,1,0,0,0,0,1,0;0,0,1,0,1,0,0,0,1,0;0,0,1,0,1,0,0,0,0,0;0,0,1,0,1,0,0,0,1,0;0,0,1,0,0,0,0,0,1,0;0,0,0,1,1,0,0,0,1,0;0,0,0,1,1,0,0,0,0,0;0,0,0,1,1,0,0,0,1,0;0,0,0,1,0,0,0,0,1,0;0,0,0,0,1,0,0,0,1,0;0,0,1,1,1,0,0,0,1,0;0,0,1,1,1,0,0,0,0,0;0,0,1,1,1,0,0,0,1,0;0,0,1,1,0,0,0,0,1,0;0,0,1,0,1,0,0,0,1,0;0,0,0,1,1,0,0,0,1,0;0,0,1,1,1,0,0,0,1,0
5	0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0;0,0,0,0,0,0,1,0,0,0;0,0,0,0,0,0,0,1,0,0;0,0,0,0,0,0,0,0,1,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,1,1,0,0,0;0,0,0,0,0,1,0,1,0,0;0,0,0,0,0,1,0,0,1,0;0,0,0,0,0,1,0,0,0,0;0,0,0,0,0,1,0,0,0,0;0,0,0,0,0,0,1,1,0,0;0,0,0,0,0,0,1,0,1,0;0,0,0,0,0,0,1,0,0,0;0,0,0,0,0,0,1,0,0,0;0,0,0,0,0,0,0,1,1,0;0,0,0,0,0,0,0,1,0,0;0,0,0,0,0,0,0,1,0,0;0,0,0,0,0,0,0,0,1,0;0,0,0,0,0,0,0,0,1,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,1,1,1,0,0;0,0,0,0,0,1,1,0,1,0;0,0,0,0,0,1,1,0,0,0;0,0,0,0,0,1,1,0,0,0;0,0,0,0,0,1,0,1,1,0;0,0,0,0,0,1,0,1,0,0;0,0,0,0,0,1,0,1,0,0;0,0,0,0,0,1,0,0,1,0;0,0,0,0,0,1,0,0,1,0;0,0,0,0,0,1,0,0,0,0;0,0,0,0,0,0,1,1,1,0;0,0,0,0,0,0,1,1,0,0;0,0,0,0,0,0,1,1,0,0;0,0,0,0,0,0,1,0,1,0;0,0,0,0,0,0,1,0,1,0;0,0,0,0,0,0,1,0,0,0;0,0,0,0,0,0,0,1,1,0;0,0,0,0,0,0,0,1,1,0;0,0,0,0,0,0,0,1,0,0;0,0,0,0,0,0,0,0,1,0;0,0,0,0,0,1,1,1,1,0;0,0,0,0,0,1,1,1,0,0;0,0,0,0,0,1,1,1,0,0;0,0,0,0,0,1,1,0,1,0;0,0,0,0,0,1,1,0,1,0;0,0,0,0,0,1,1,0,0,0;0,0,0,0,0,1,0,1,1,0;0,0,0,0,0,1,0,1,1,0;0,0,0,0,0,1,0,1,0,0;0,0,0,0,0,1,0,0,1,0;0,0,0,0,0,0,1,1,1,0;0,0,0,0,0,0,1,1,1,0;0,0,0,0,0,0,1,1,0,0;0,0,0,0,0,0,1,0,1,0;0,0,0,0,0,0,0,1,1,0;0,0,0,0,0,1,1,1,1,0;0,0,0,0,0,1,1,1,1,0;0,0,0,0,0,1,1,1,0,0;0,0,0,0,0,1,1,0,1,0;0,0,0,0,0,1,0,1,1,0;0,0,0,0,0,0,1,1,1,0;0,0,0,0,0,1,1,1,1,0
