# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# START_Q_ORDER=81
# START_Q_ID=1
# END_Q_ORDER=81
# CLIQUE_CUTOFF=7
# EXCLUDED_QUOTIENTS=81,15
q_order	q_id	structure	cover_order	exterior_order	all_exterior_subgroups	normal_kernel_count	kernel_serial	kernel_order	kernel_index	radical_count	status	witness	adjacency
81	3	(C9 x C3) : C3	729	27	28	7	7	27	1	81	nonfaithful_radical	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81	4	C9 : C9	243	9	3	3	1	1	9	1	clique_ge_8	18,8,22,26,3,12,32,52	0,2417851639229189621399244,2417851639211666079476210,2380008142653733352735202,2415485735639148064968260,2417851639229189621399244,2323109159976736720412606,2415490419950213230739310,2417851639229189621399244,2417851639211666079476210,2417851639211666079476210,2380054260411121111394294,2380008142653733352735202,962842790962328211263398,2415485735639148064968260,2401913652349571685908478,2417846955481213475667950,2417851639229189621399244,2401913652349571685908478,1208777092175383766753278,2266659816142826126696446,2417846955481213475667950,2415490419950213230739310,2417851639229189621399244,2417851639211666079476210,2417805522052414424739830,2417851639211666079476210,2380054260411121111394294,2417805522052414424739830,1495218246743710727081958,1495218246743710727081958,1208777092175383766753278,2115619175519270029230078,2115619175519270029230078,2415490419950213230739310,2417846955481213475667950,2417851639229189621399244,1813388697896332442992638,1813388697896332442992638,2266659816142826126696446,2323109159976736720412606,1208777092175383766753278,2417846955481213475667950,2415490419950213230739310,2417851639211666079476210,2417805522052414424739830,2380054260411121111394294,2380054260411121111394294,2417805522052414424739830,962842790962328211263398,2323109159976736720412606,2266659816142826126696446,1813388697896332442992638,1813388697896332442992638,1813388697896332442992638,2415490419950213230739310,2417846955481213475667950,2115619175519270029230078,2115619175519270029230078,2115619175519270029230078,1208777092175383766753278,2266659816142826126696446,2417846955481213475667950,2417805522052414424739830,2380054260411121111394294,2417805522052414424739830,2266659816142826126696446,1208777092175383766753278,2323109159976736720412606,2401913652349571685908478,2401913652349571685908478,2415490419950213230739310,2401913652349571685908478,2401913652349571685908478,2323109159976736720412606,2380054260411121111394294,2323109159976736720412606,2266659816142826126696446,2115619175519270029230078,1813388697896332442992638,1208777092175383766753278
81	4	C9 : C9	243	9	3	3	2	3	3	9	nonfaithful_radical	1,4,5,13,14,15,30,31,50	0,2415485735639148064968260,2380008142653733352735202,0,0,2415485735639148064968260,962842790962328211263398,2415485735639148064968260,2415485735639148064968260,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,0,0,0,1495218246743710727081958,2415485735639148064968260,2415485735639148064968260,1495218246743710727081958,962842790962328211263398,962842790962328211263398,2415485735639148064968260,2415485735639148064968260,2415485735639148064968260,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,0,0,962842790962328211263398,1495218246743710727081958,1495218246743710727081958,2415485735639148064968260,2415485735639148064968260,2415485735639148064968260,1495218246743710727081958,1495218246743710727081958,962842790962328211263398,962842790962328211263398,962842790962328211263398,2415485735639148064968260,2415485735639148064968260,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,0,962842790962328211263398,962842790962328211263398,1495218246743710727081958,1495218246743710727081958,1495218246743710727081958,2415485735639148064968260,2415485735639148064968260,1495218246743710727081958,1495218246743710727081958,1495218246743710727081958,962842790962328211263398,962842790962328211263398,2415485735639148064968260,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,962842790962328211263398,962842790962328211263398,962842790962328211263398,1495218246743710727081958,1495218246743710727081958,2415485735639148064968260,1495218246743710727081958,1495218246743710727081958,962842790962328211263398,2380008142653733352735202,962842790962328211263398,962842790962328211263398,1495218246743710727081958,1495218246743710727081958,962842790962328211263398
81	4	C9 : C9	243	9	3	3	3	9	1	81	nonfaithful_radical	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81	5	C27 x C3	243	3	2	2	1	1	3	9	nonfaithful_radical	1,4,5,13,14,15,30,31,50	0,2415485735639148064968260,2380008142653733352735202,0,0,2415485735639148064968260,962842790962328211263398,2415485735639148064968260,2415485735639148064968260,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,0,0,0,1495218246743710727081958,2415485735639148064968260,2415485735639148064968260,1495218246743710727081958,962842790962328211263398,962842790962328211263398,2415485735639148064968260,2415485735639148064968260,2415485735639148064968260,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,0,0,962842790962328211263398,1495218246743710727081958,1495218246743710727081958,2415485735639148064968260,2415485735639148064968260,2415485735639148064968260,1495218246743710727081958,1495218246743710727081958,962842790962328211263398,962842790962328211263398,962842790962328211263398,2415485735639148064968260,2415485735639148064968260,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,0,962842790962328211263398,962842790962328211263398,1495218246743710727081958,1495218246743710727081958,1495218246743710727081958,2415485735639148064968260,2415485735639148064968260,1495218246743710727081958,1495218246743710727081958,1495218246743710727081958,962842790962328211263398,962842790962328211263398,2415485735639148064968260,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,962842790962328211263398,962842790962328211263398,962842790962328211263398,1495218246743710727081958,1495218246743710727081958,2415485735639148064968260,1495218246743710727081958,1495218246743710727081958,962842790962328211263398,2380008142653733352735202,962842790962328211263398,962842790962328211263398,1495218246743710727081958,1495218246743710727081958,962842790962328211263398
81	5	C27 x C3	243	3	2	2	2	3	1	81	nonfaithful_radical	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81	6	C27 : C3	81	3	2	2	1	1	3	9	nonfaithful_radical	1,4,5,13,14,15,30,31,50	0,2415485735639148064968260,2380008142653733352735202,0,0,2415485735639148064968260,962842790962328211263398,2415485735639148064968260,2415485735639148064968260,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,0,0,0,1495218246743710727081958,2415485735639148064968260,2415485735639148064968260,1495218246743710727081958,962842790962328211263398,962842790962328211263398,2415485735639148064968260,2415485735639148064968260,2415485735639148064968260,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,0,0,962842790962328211263398,1495218246743710727081958,1495218246743710727081958,2415485735639148064968260,2415485735639148064968260,2415485735639148064968260,1495218246743710727081958,1495218246743710727081958,962842790962328211263398,962842790962328211263398,962842790962328211263398,2415485735639148064968260,2415485735639148064968260,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,0,962842790962328211263398,962842790962328211263398,1495218246743710727081958,1495218246743710727081958,1495218246743710727081958,2415485735639148064968260,2415485735639148064968260,1495218246743710727081958,1495218246743710727081958,1495218246743710727081958,962842790962328211263398,962842790962328211263398,2415485735639148064968260,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,962842790962328211263398,962842790962328211263398,962842790962328211263398,1495218246743710727081958,1495218246743710727081958,2415485735639148064968260,1495218246743710727081958,1495218246743710727081958,962842790962328211263398,2380008142653733352735202,962842790962328211263398,962842790962328211263398,1495218246743710727081958,1495218246743710727081958,962842790962328211263398
81	6	C27 : C3	81	3	2	2	2	3	1	81	nonfaithful_radical	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81	7	(C3 x C3 x C3) : C3	243	27	28	7	1	1	27	3	nonfaithful_radical	1,5,15	0,2417851639229189621399244,2417851639158889303225834,2417851638666306785349606,0,2417851639229189621399244,2266588336696741094997934,2415490419950213230739310,2417851639229189621399244,2417851639158889303225834,2380063483695197035936750,2417851639158889303225834,2417851638666306785349606,2417851638666306785349606,0,1808666200809478941523950,2417846955481213475667950,2417851639229189621399244,2115029307550615541104622,2417554183228168309555182,2266588336696741094997934,2417846955481213475667950,2415490419950213230739310,2417851639229189621399244,2417796298821115276410862,2417851639158889303225834,2417796298821115276410862,2380063483695197035936750,2417851639158889303225834,2417851638666306785349606,2417851638666306785349606,2417554183228168309555182,2407226017405084507291630,1808666200809478941523950,2415490419950213230739310,2417846955481213475667950,2417851639229189621399244,2407226017405084507291630,2115029307550615541104622,1114403550058887069548526,2417554183228168309555182,2266588336696741094997934,2417846955481213475667950,2415490419950213230739310,2380063483695197035936750,2417796298821115276410862,2417851639158889303225834,2417796298821115276410862,2380063483695197035936750,2417851638666306785349606,2266588336696741094997934,2417554183228168309555182,2115029307550615541104622,2407226017405084507291630,1808666200809478941523950,2415490419950213230739310,2417846955481213475667950,1808666200809478941523950,2407226017405084507291630,2115029307550615541104622,1114403550058887069548526,2417554183228168309555182,2417846955481213475667950,2380063483695197035936750,2417796298821115276410862,2417796298821115276410862,1114403550058887069548526,2266588336696741094997934,2417554183228168309555182,2115029307550615541104622,2407226017405084507291630,2415490419950213230739310,1808666200809478941523950,2407226017405084507291630,1114403550058887069548526,2380063483695197035936750,1114403550058887069548526,2266588336696741094997934,2115029307550615541104622,1808666200809478941523950,1114403550058887069548526
81	7	(C3 x C3 x C3) : C3	243	27	28	7	2	3	9	3	nonfaithful_radical	1,5,15	0,2417851639229189621399244,2380008142653733352735202,2380008142653733352735202,0,2417851639229189621399244,2266588336696741094997934,2415490419950213230739310,2417851639229189621399244,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,0,1808666200809478941523950,2417846955481213475667950,2417851639229189621399244,2115029307550615541104622,2417554183228168309555182,2266588336696741094997934,2417846955481213475667950,2415490419950213230739310,2417851639229189621399244,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2417554183228168309555182,2407226017405084507291630,1808666200809478941523950,2415490419950213230739310,2417846955481213475667950,2417851639229189621399244,2407226017405084507291630,2115029307550615541104622,1114403550058887069548526,2417554183228168309555182,2266588336696741094997934,2417846955481213475667950,2415490419950213230739310,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,2266588336696741094997934,2417554183228168309555182,2115029307550615541104622,2407226017405084507291630,1808666200809478941523950,2415490419950213230739310,2417846955481213475667950,1808666200809478941523950,2407226017405084507291630,2115029307550615541104622,1114403550058887069548526,2417554183228168309555182,2417846955481213475667950,2380008142653733352735202,2380008142653733352735202,2380008142653733352735202,1114403550058887069548526,2266588336696741094997934,2417554183228168309555182,2115029307550615541104622,2407226017405084507291630,2415490419950213230739310,1808666200809478941523950,2407226017405084507291630,1114403550058887069548526,2380008142653733352735202,1114403550058887069548526,2266588336696741094997934,2115029307550615541104622,1808666200809478941523950,1114403550058887069548526
